coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Aug 30 04:54:27 +0000 2021,,,,0,1432205050688987136,,,,pl,,,,70,1432117359146323977,oko_press,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeśli nie znajdzie się dawca wątroby, dzieci, które Polska uratowała z Kabulu, mogą nie przeżyć. Zawiodła opieka nad uchodźcami. Trwa wyścig z czasem #uchodźcy #dębak #afganistan @s_klauzinski 
https://t.co/Wr7J1ZDZ7v https://t.co/G66xRbHmWc",https://twitter.com/olejnik_lukasz1/status/1432205050688987136,Fri Aug 24 09:43:29 +0000 2018,1032926357007855618,false,"@Platforma_org, PO Warszawa, Consulting IT",67355,5523,990,9,Warszawa,Łukasz Olejnik,olejnik_lukasz1,99682,,,false
,Mon Aug 30 04:45:00 +0000 2021,,,"https://fakty.tvn24.pl/ogladaj-online,60/afganistan-pentagon-stany-zjednoczone-przeprowadzil-atak-na-zamachowca-w-kabulu,1075522.html",4,1432202670203228166,,,,pl,,false,,2,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Informację potwierdził Pentagon.

SZCZEGÓŁY w materiale @FaktyTVN
💻 🖥 📣https://t.co/eJ9FXPIahz",https://twitter.com/FaktyTVN/status/1432202670203228166,Tue Sep 24 18:07:48 +0000 2013,1901341021,false,Najlepszy program informacyjny codziennie o 19:00 w TVN. Członek rodziny @tvn24. Instagram: @faktytvn.,1377,221237,55,469,Polska,Fakty TVN,FaktyTVN,137202,,http://www.fakty.tvn.pl,true
,Mon Aug 30 07:01:29 +0000 2021,SalonPolitycznyTrójki UE,,,0,1432237017505705987,,,,pl,,,,1,1432236723468181506,PR24_pl,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",".@MarcinOciepa w #SalonPolitycznyTrójki w @RadiowaTrojka: stanowisko #UE jest takie, że wspólnota nie uznaje władzy, którą talibowie narzucają siłą
#Afganistan",https://twitter.com/Micha74309145/status/1432237017505705987,Sat Dec 21 10:36:27 +0000 2019,1208335351917486080,false,Polska jest najważniejsza.,10350,143,450,0,,Michał#BabiesLivesMatter,Micha74309145,35529,,,false
,Mon Aug 30 07:35:30 +0000 2021,Taliban Afganistan USA NATO sojusznik,,,0,1432245579392983041,,,,pl,,,1431934921820487684,2,1432062942799974401,Horus543,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Taliban vs #Afganistan #USA #NATO #sojusznik
Boże Narodzenie w Emiracie w tym roku jest w sierpniu.
Talibowie inwentaryzują kolejne prezenty, tu znowu śmigłowce MD-530F 
Prawie nowe, z małym nalotem, Amerykanie płakali jak je ""oddawali""... https://t.co/ZtYaVn5JuN https://t.co/71KahKfOtM",https://twitter.com/KoloniaPl/status/1432245579392983041,Fri Jun 26 15:10:20 +0000 2015,3346659106,false,Powstrzymajmy wspólnie agresję USA,81238,482,406,13,"Kraków, Polska",Polska bez Jankesów🇵🇱,KoloniaPl,66518,,,false
,Mon Aug 30 06:25:15 +0000 2021,msnpl,,http://www.msn.com/pl-pl/wiadomosci/swiat/afganistan-w-kierunku-lotniska-w-kabulu-wystrzelono-rakiety/ar-AANSUxe?ocid=ob-tw-plpl-572,0,1432227898245582848,,,,pl,,false,,0,,,"<a href=""https://oxfordblue.azurewebsites.net"" rel=""nofollow"">OxfordBlue-Twitter</a>",Afganistan: W kierunku lotniska w Kabulu wystrzelono rakiety #msnpl https://t.co/BX2DVIRbob,https://twitter.com/MSNPolska/status/1432227898245582848,Thu Oct 13 12:35:09 +0000 2016,786545808782929920,false,"Microsoft News po polsku. Zapraszamy po najgorętsze wiadomości z Polski i świata, najciekawsze teksty, piękne zdjęcia i przydatne usługi internetowe",1,251,19,8,"Warsaw, Poland",MSN Polska,MSNPolska,56380,,http://www.msn.com/pl-pl,false
,Mon Aug 30 07:05:27 +0000 2021,SalonPolitycznyTrójki UE Afganistan,,,1,1432238016148410375,,,,pl,,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",".@MarcinOciepa w #SalonPolitycznyTrójki: stanowisko #UE jest takie, że wspólnota nie uznaje władzy, którą talibowie narzucają siłą #Afganistan",https://twitter.com/RadiowaTrojka/status/1432238016148410375,Mon Jan 07 12:58:00 +0000 2013,1068263263,false,"Oficjalny profil Programu 3 Polskiego Radia
https://t.co/qDTef8kldR",2042,54355,574,290,Polska,Trójka – Program 3 Polskiego Radia,RadiowaTrojka,43469,,http://trojka.polskieradio.pl,false
,Mon Aug 30 03:58:10 +0000 2021,,,,0,1432190883328401408,,,,pl,,,,108,1431721210208038918,jan_czapski,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Zero uchodźców z Afganistanu!"" mówi Kurz. ""Nie uważam, że możemy przyjąć więcej ludzi w Austrii, wręcz przeciwnie. Nie dopuszczę do tego za mojej kadencji. Przyjęcie ludzi, których nie można zintegrować, to byłby ogromny problem dla kraju.""
#Afganistan 
https://t.co/L9UGdpAtfY https://t.co/qzkuZvum3A",https://twitter.com/miron1224/status/1432190883328401408,Mon Aug 14 09:11:11 +0000 2017,897022780226580480,true,,82748,211,322,0,,mm,miron1224,81251,,,false
,Mon Aug 30 05:46:50 +0000 2021,,,,0,1432218230760804352,,,,pl,,,,70,1432117359146323977,oko_press,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeśli nie znajdzie się dawca wątroby, dzieci, które Polska uratowała z Kabulu, mogą nie przeżyć. Zawiodła opieka nad uchodźcami. Trwa wyścig z czasem #uchodźcy #dębak #afganistan @s_klauzinski 
https://t.co/Wr7J1ZDZ7v https://t.co/G66xRbHmWc",https://twitter.com/AnnaGvG/status/1432218230760804352,Mon Apr 01 10:31:03 +0000 2013,1320054534,false,"Wkurzona staruszka, kocham inteligencję, nie mogę znieść bezmyślności i nieuctwa",126771,982,681,3,,Anna Gut vel Gutkows,AnnaGvG,62595,,,false
,Mon Aug 30 05:51:39 +0000 2021,,,,0,1432219444877660164,,,,pl,,,1432179624570724356,1,1432218613898006530,Tomek525,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Od momentu zainstalowania @JoeBiden w WH, zapanowała w Ameryce pełna korupcja na każdym polu, Afganistan jest tylko tego kwintesencją... https://t.co/ETG9cmNCTX",https://twitter.com/Tomek525/status/1432219444877660164,Sat Oct 17 09:08:41 +0000 2015,3978393137,false,"Konto własne, osoby mojej...🇵🇱                  WARSZAWA 
Gettr Tomek323
Gab   Tomek323",20907,1660,200,8,"Warszawa, Polska",Tomek Niewęgłowski #MAGA,Tomek525,75002,,,false
,Mon Aug 30 05:59:04 +0000 2021,,,"https://serwisy.gazetaprawna.pl/samorzad/artykuly/8233586,uchodzcy-migracje-afganistan.html?utm_source=dlvr.it&utm_medium=twitter",0,1432221311825186818,,,,pl,,false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Ewakuacja z Afganistanu zakończona. I co dalej? https://t.co/RNJhIU6xtT,https://twitter.com/gazetaprawnapl/status/1432221311825186818,Fri Aug 21 11:03:38 +0000 2009,67580351,false,"Oficjalny profil serwisu internetowego Gazetaprawna.pl. To najświeższe informacje i wiadomości z prawa, biznesu, podatków, finansów czy pracy.",296,74637,448,529,"Warszawa, Polska",gazetaprawna.pl,gazetaprawnapl,153603,,http://www.gazetaprawna.pl,false
